FID,Z,Lat,Lon
420,0.000000000000000,-72.7907028,67.3526001
421,0.000000000000000,-72.7903976,67.3526993
422,0.000000000000000,-72.7901993,67.3528976
423,0.000000000000000,-72.7899017,67.3529968
424,0.000000000000000,-72.7895966,67.3531036
425,0.000000000000000,-72.7893982,67.3532028
426,0.000000000000000,-72.7891006,67.3534012
427,0.000000000000000,-72.7888031,67.3535004
428,0.000000000000000,-72.7885971,67.3535995
429,0.000000000000000,-72.7882996,67.3536987
430,0.000000000000000,-72.7880020,67.3538971
431,0.000000000000000,-72.7878036,67.3539963
432,0.000000000000000,-72.7874985,67.3541031
433,0.000000000000000,-72.7872009,67.3542023
434,0.000000000000000,-72.7870026,67.3543015
435,0.000000000000000,-72.7866974,67.3544998
436,0.000000000000000,-72.7863998,67.3545990
437,0.000000000000000,-72.7861023,67.3546982
438,0.000000000000000,-72.7858963,67.3547974
439,0.000000000000000,-72.7855988,67.3550034
440,0.000000000000000,-72.7853012,67.3551025
441,0.000000000000000,-72.7851028,67.3552017
442,0.000000000000000,-72.7847977,67.3553009
443,0.000000000000000,-72.7845001,67.3554993
444,0.000000000000000,-72.7843018,67.3555984
445,0.000000000000000,-72.7839966,67.3556976
446,0.000000000000000,-72.7836990,67.3557968
447,0.000000000000000,-72.7835007,67.3560028
448,0.000000000000000,-72.7832031,67.3561020
449,0.000000000000000,-72.7828979,67.3562012
450,0.000000000000000,-72.7826996,67.3563004
451,0.000000000000000,-72.7824020,67.3564987
452,0.000000000000000,-72.7820969,67.3565979
453,0.000000000000000,-72.7818985,67.3566971
454,0.000000000000000,-72.7816010,67.3567963
455,0.000000000000000,-72.7813034,67.3570023
456,0.000000000000000,-72.7810974,67.3571014
457,0.000000000000000,-72.7807999,67.3572006
458,0.000000000000000,-72.7805023,67.3572998
459,0.000000000000000,-72.7802963,67.3574982
460,0.000000000000000,-72.7799988,67.3575974
461,0.000000000000000,-72.7797012,67.3576965
462,0.000000000000000,-72.7795029,67.3578033
463,0.000000000000000,-72.7791977,67.3580017
464,0.000000000000000,-72.7789001,67.3581009
465,0.000000000000000,-72.7787018,67.3582001
466,0.000000000000000,-72.7783966,67.3582993
467,0.000000000000000,-72.7780991,67.3584976
468,0.000000000000000,-72.7779007,67.3585968
469,0.000000000000000,-72.7776031,67.3587036
470,0.000000000000000,-72.7772980,67.3588028
471,0.000000000000000,-72.7770996,67.3589020
472,0.000000000000000,-72.7768021,67.3591003
473,0.000000000000000,-72.7764969,67.3591995
474,0.000000000000000,-72.7762985,67.3592987
475,0.000000000000000,-72.7760010,67.3593979
476,0.000000000000000,-72.7757034,67.3595963
477,0.000000000000000,-72.7754974,67.3597031
478,0.000000000000000,-72.7751999,67.3598022
479,0.000000000000000,-72.7749023,67.3599014
480,0.000000000000000,-72.7746964,67.3600998
481,0.000000000000000,-72.7743988,67.3601990
482,0.000000000000000,-72.7741013,67.3602982
483,0.000000000000000,-72.7738037,67.3603973
484,0.000000000000000,-72.7735977,67.3606033
485,0.000000000000000,-72.7733002,67.3607025
486,0.000000000000000,-72.7730026,67.3608017
487,0.000000000000000,-72.7727966,67.3609009
488,0.000000000000000,-72.7724991,67.3610992
489,0.000000000000000,-72.7722015,67.3611984
490,0.000000000000000,-72.7720032,67.3612976
491,0.000000000000000,-72.7716980,67.3613968
492,0.000000000000000,-72.7714005,67.3616028
493,0.000000000000000,-72.7712021,67.3617020
494,0.000000000000000,-72.7708969,67.3618011
495,0.000000000000000,-72.7705994,67.3619003
496,0.000000000000000,-72.7704010,67.3620987
497,0.000000000000000,-72.7701035,67.3621979
498,0.000000000000000,-72.7697983,67.3622971
499,0.000000000000000,-72.7695999,67.3623962
500,0.000000000000000,-72.7693024,67.3625031
501,0.000000000000000,-72.7689972,67.3627014
502,0.000000000000000,-72.7687988,67.3628006
503,0.000000000000000,-72.7685013,67.3628998
504,0.000000000000000,-72.7682037,67.3629990
505,0.000000000000000,-72.7679977,67.3631973
506,0.000000000000000,-72.7677002,67.3632965
507,0.000000000000000,-72.7674026,67.3634033
508,0.000000000000000,-72.7671967,67.3635025
509,0.000000000000000,-72.7668991,67.3637009
510,0.000000000000000,-72.7666016,67.3638000
511,0.000000000000000,-72.7664032,67.3638992
512,0.000000000000000,-72.7660980,67.3639984
513,0.000000000000000,-72.7658005,67.3641968
514,0.000000000000000,-72.7656021,67.3643036
515,0.000000000000000,-72.7652969,67.3644028
516,0.000000000000000,-72.7649994,67.3645020
517,0.000000000000000,-72.7648010,67.3647003
518,0.000000000000000,-72.7645035,67.3647995
519,0.000000000000000,-72.7641983,67.3648987
520,0.000000000000000,-72.7639999,67.3649979
521,0.000000000000000,-72.7637024,67.3651962
522,0.000000000000000,-72.7633972,67.3653030
523,0.000000000000000,-72.7631989,67.3654022
524,0.000000000000000,-72.7629013,67.3655014
525,0.000000000000000,-72.7626038,67.3656998
526,0.000000000000000,-72.7623978,67.3657990
527,0.000000000000000,-72.7621002,67.3658981
528,0.000000000000000,-72.7618027,67.3659973
529,0.000000000000000,-72.7615967,67.3660965
530,0.000000000000000,-72.7612991,67.3663025
531,0.000000000000000,-72.7610016,67.3664017
532,0.000000000000000,-72.7606964,67.3665009
533,0.000000000000000,-72.7604980,67.3666000
534,0.000000000000000,-72.7602005,67.3667984
535,0.000000000000000,-72.7599030,67.3668976
536,0.000000000000000,-72.7596970,67.3669968
537,0.000000000000000,-72.7593994,67.3671036
538,0.000000000000000,-72.7591019,67.3673019
539,0.000000000000000,-72.7589035,67.3674011
540,0.000000000000000,-72.7585983,67.3675003
541,0.000000000000000,-72.7583008,67.3675995
542,0.000000000000000,-72.7581024,67.3677979
543,0.000000000000000,-72.7577972,67.3678970
544,0.000000000000000,-72.7574997,67.3679962
545,0.000000000000000,-72.7573013,67.3681030
546,0.000000000000000,-72.7570038,67.3683014
547,0.000000000000000,-72.7566986,67.3684006
548,0.000000000000000,-72.7565002,67.3684998
549,0.000000000000000,-72.7562027,67.3685989
550,0.000000000000000,-72.7558975,67.3687973
551,0.000000000000000,-72.7556992,67.3688965
552,0.000000000000000,-72.7554016,67.3690033
553,0.000000000000000,-72.7550964,67.3691025
554,0.000000000000000,-72.7548981,67.3692017
555,0.000000000000000,-72.7546005,67.3694000
556,0.000000000000000,-72.7543030,67.3694992
557,0.000000000000000,-72.7540970,67.3695984
558,0.000000000000000,-72.7537994,67.3696976
559,0.000000000000000,-72.7535019,67.3699036
560,0.000000000000000,-72.7533035,67.3700027
561,0.000000000000000,-72.7529984,67.3701019
562,0.000000000000000,-72.7527008,67.3702011
563,0.000000000000000,-72.7525024,67.3703995
564,0.000000000000000,-72.7521973,67.3704987
565,0.000000000000000,-72.7518997,67.3705978
566,0.000000000000000,-72.7517014,67.3706970
567,0.000000000000000,-72.7514038,67.3709030
568,0.000000000000000,-72.7510986,67.3710022
569,0.000000000000000,-72.7509003,67.3711014
570,0.000000000000000,-72.7506027,67.3712006
571,0.000000000000000,-72.7502975,67.3713989
572,0.000000000000000,-72.7500992,67.3714981
573,0.000000000000000,-72.7498016,67.3715973
574,0.000000000000000,-72.7494965,67.3716965
575,0.000000000000000,-72.7492981,67.3719025
576,0.000000000000000,-72.7490005,67.3720016
